Key,en,de,fr,it,hu,zh,ar
error_missing_google_play_services,"Google Play Services are not installed. The application will not be able to receive authentication notifications.","Google Play Services sind nicht installiert. Die App kann keine Authentifizierungsbenachrichtigungen empfangen.","Google Play Services ne sont pas installés. L'application ne sera pas en mesure de recevoir des notifications d'authentification.","Google Play Services non sono installati. L'applicazione non sarà in grado di ricevere notifiche di autenticazione.","A Google Play szolgáltatás nincs telepítve. Az alkalmazás nem tudni értesítésként küldött azonosítás kezdeményezéseket fogadni.","Google Play服务未安装。应用将无法接收认证通知。","خدمات Google Play غير مثبتة. لن يتمكن التطبيق من تلقي إشعارات المصادقة."
error_disabled_google_play_services,"Google Play Services are disabled. The application will not be able to receive authentication notifications.","Google Play Services sind deaktiviert. Die App kann keine Authentifizierungsbenachrichtigungen empfangen.","Google Play Services sont désactivés. L'application ne sera pas en mesure de recevoir des notifications d'authentification.","Google Play Services sono disattivati. L'applicazione non sarà in grado di ricevere notifiche di autenticazione.","A Google Play szolgáltatás le van tiltva. Az alkalmazás nem tudni értesítésként küldött azonosítás kezdeményezéseket fogadni.","Google Play服务已禁用。应用将无法接收认证通知。","تم تعطيل خدمات Google Play. لن يتمكن التطبيق من تلقي إشعارات المصادقة."
error_not_authentic_google_play_services,"The installed Google Play Services are not authentic. The application may not be able to receive authentication notifications.","Die installierten Google Play Services sind nicht authentisch. Die App kann möglicherweise keine Authentifizierungsbenachrichtigungen empfangen.","Les Google Play Services installés ne sont pas authentiques. L'application peut ne pas être en mesure de recevoir des notifications d'authentification.","I Google Play Services installati non sono autentici. L'applicazione potrebbe non essere in grado di ricevere le notifiche di autenticazione.","A telepített Google Play szolgáltatás hitelesítése érvénytelen. Előfordulhat, hogy az alkalmazás nem tud azonosítási értesítéseket fogadni.","已安装的Google Play服务不是正版。应用可能无法接收认证通知。","خدمات Google Play المثبتة غير أصلية. قد لا يتمكن التطبيق من تلقي إشعارات المصادقة."
no_google_play_services_alert_title,"Push Authentication Unavailable","Push-Authentifizierung nicht verfügbar","Authentification push non disponible","Autenticazione push non disponibile","Az értesítések használata nem lehetséges.","推送认证不可用","المصادقة الدفعية غير متوفرة"
no_google_play_services_alert_close,"Close","Schliessen","Fermer","Chiudi","Bezárás","关闭","أغلق"
no_google_play_services_alert_do_not_display_again,"Do not show this message again","Diese Meldung nicht mehr anzeigen","Ne plus afficher ce message","Non mostrare più questo messaggio","Ne mutassa legközelebb ezt az üzenetet","不再显示此信息","لا تظهر هذه الرسالة مرة أخرى"
push_screen_rationale_title,"Notifications","Benachrichtigungen","Notifications","Notifiche","Értesítések","通知","الإشعارات"
push_screen_rationale_text,"Allow the application to receive notifications in order to allow notification authentication.","Erlauben Sie der Anwendung, Benachrichtigungen zu empfangen, um die Authentifizierung mit Benachrichtigungen zu ermöglichen.","Autoriser l'application à recevoir des notifications afin de permettre l'authentification avec des notifications.","Consentire all'applicazione di ricevere notifiche per permettere l'autenticazione con le notifiche.","Engedélyezze az alkalmazásnak az értesítések fogadását, hogy megkapja az értesítésként küldött azonosítás kezdeményezéseket.","允许应用接收通知以便允许通知认证。","اسمح للتطبيق بتلقي الإشعارات للسماح بالمصادقة عبر الإشعارات."
push_screen_rationale_provide_permissions,"Provide permissions","Berechtigungen erteilen","Fournir des permissions","Fornire i permessi","Engedélyezés","提供权限","تقديم الأذونات"
do_not_provide_permissions_button,"Do not provide permissions","Keine Berechtigungen erteilen","Ne pas fournir des permissions","Non fornire permessi","Tiltás","不提供权限","لا تقدم الأذونات"
missing_push_notifications_permissions,"The application needs notification permissions in order to allow notification authentication.","Die Anwendung benötigt Benachrichtigungsberechtigungen, um die Authentifizierung mit Benachrichtigungen zu ermöglichen.","L'application a besoin d'autorisations de notification afin de permettre l'authentification avec les notifications.","L'applicazione ha bisogno dei permessi di notifica per consentire l'autenticazione con le notifiche.","Az értesítésként küldött azonosítás kezdeményezések használatához az alkalmazásnak szüksége van arra, hogy engedélyezze az értesítéseket.","应用需要通知权限以便允许通知认证。","التطبيق بحاجة إلى أذونات الإشعارات للسماح بالمصادقة عبر الإشعارات."
error_navigating_with_xcallbackurl_title,"Error","Fehler","Erreur","Errore","Hiba","错误","خطأ"
error_navigating_with_xcallbackurl_msg,"Error navigating to URL %s. Contact the client service if the error persists.","Fehler beim Navigieren zur URL %s. Wenden Sie sich an den Kundendienst, wenn der Fehler weiterhin besteht.","Erreur de navigation vers l'URL %s. Contactez le service client si l'erreur persiste.","Errore di navigazione verso l'URL %s. Contattare il servizio clienti se l'errore persiste.","Hiba történt a(z) %1$s URL-címre történő ugrás közben. Ha a hiba továbbra is fennáll, forduljon az ügyfélszolgálathoz.","导航到URL %s时出错。如果错误持续存在，请联系客户服务。","خطأ في التنقل إلى العنوان %s. اتصل بخدمة العملاء إذا استمر الخطأ."
device_naming_screen_confirm,"Confirm","Bestätigen","Confirmer","Conferma","Megerősítés","确认","تأكيد"
copied_to_clipboard,"Copied to clipboard.","In die Zwischenablage kopiert.","Copié dans le presse-papier.","Copiato negli appunti.","Vágólapra másolva","複製到剪貼簿","نسخ إلى الحافظة"
